 ------------------------------------------------------------------- ------------- -------- ------ ---------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                              
  store-api.newsletter.unsubscribe                                    POST          ANY      ANY    /store-api/newsletter/unsubscribe                                                 
  store-api.seo.url                                                   GET|POST      ANY      ANY    /store-api/seo-url                                                                
  store-api.sitemap                                                   GET|POST      ANY      ANY    /store-api/sitemap                                                                
  api.action.order.convert-to-cart                                    POST          ANY      ANY    /api/_action/order/{orderId}/convert-to-cart/                                     
  api.action.order.recalculate                                        POST          ANY      ANY    /api/_action/order/{orderId}/recalculate                                          
  api.action.order.add-product                                        POST          ANY      ANY    /api/_action/order/{orderId}/product/{productId}                                  
  api.action.order.add-credit-item                                    POST          ANY      ANY    /api/_action/order/{orderId}/creditItem                                           
  api.action.order.add-line-item                                      POST          ANY      ANY    /api/_action/order/{orderId}/lineItem                                             
  api.action.order.add-promotion-item                                 POST          ANY      ANY    /api/_action/order/{orderId}/promotion-item                                       
  api.action.order.toggle-automatic-promotions                        POST          ANY      ANY    /api/_action/order/{orderId}/toggleAutomaticPromotions                            
  api.action.order.replace-order-address                              POST          ANY      ANY    /api/_action/order-address/{orderAddressId}/customer-address/{customerAddressId}  
  api.action.calculate-price                                          POST          ANY      ANY    /api/_action/calculate-price                                                      
  payment.finalize.transaction                                        GET|POST      ANY      ANY    /payment/finalize-transaction                                                     
  api.action.download.document                                        GET           ANY      ANY    /api/_action/document/{documentId}/{deepLinkCode}                                 
  api.action.document.preview                                         GET           ANY      ANY    /api/_action/order/{orderId}/{deepLinkCode}/document/{documentTypeName}/preview   
  api.action.document.invoice                                         POST          ANY      ANY    /api/_action/order/{orderId}/document/{documentTypeName}                          
  api.action.document.upload                                          POST          ANY      ANY    /api/_action/document/{documentId}/upload                                         
  api.action.promotion.codes                                          GET           ANY      ANY    /api/_action/promotion/{promotionId}/codes/individual                             
  api.action.promotion.codes.remove                                   DELETE        ANY      ANY    /api/_action/promotion/{promotionId}/codes/individual                             
  api.action.promotion.setgroup.packager                              GET           ANY      ANY    /api/_action/promotion/setgroup/packager                                          
  api.action.promotion.setgroup.sorter                                GET           ANY      ANY    /api/_action/promotion/setgroup/sorter                                            
  api.action.promotion.discount.picker                                GET           ANY      ANY    /api/_action/promotion/discount/picker                                            
  api.action.promotion.codes.generate-fixed                           GET           ANY      ANY    /api/_action/promotion/codes/generate-fixed                                       
  api.action.promotion.codes.generate-individual                      GET           ANY      ANY    /api/_action/promotion/codes/generate-individual                                  
  api.action.promotion.codes.replace-individual                       PATCH         ANY      ANY    /api/_action/promotion/codes/replace-individual                                   
  api.action.promotion.codes.add-individual                           POST          ANY      ANY    /api/_action/promotion/codes/add-individual                                       
  api.action.promotion.codes.preview                                  GET           ANY      ANY    /api/_action/promotion/codes/preview                                              
  api.action.order.state_machine.order.transition_state               POST          ANY      ANY    /api/_action/order/{orderId}/state/{transition}                                   
  api.action.order.state_machine.order_transaction.transition_state   POST          ANY      ANY    /api/_action/order_transaction/{orderTransactionId}/state/{transition}            
  api.action.order.state_machine.order_delivery.transition_state      POST          ANY      ANY    /api/_action/order_delivery/{orderDeliveryId}/state/{transition}                  
  store-api.payment.handle                                            GET|POST      ANY      ANY    /store-api/handle-payment                                                         
  store-api.payment.method                                            GET|POST      ANY      ANY    /store-api/payment-method                                                         
  store-api.shipping.method                                           GET|POST      ANY      ANY    /store-api/shipping-method                                                        
  api.customer-group.accept                                           POST          ANY      ANY    /api/_action/customer-group-registration/accept/{customerId}                      
  api.customer-group.decline                                          POST          ANY      ANY    /api/_action/customer-group-registration/decline/{customerId}                     
  store-api.newsletter.recipient                                      GET|POST      ANY      ANY    /store-api/account/newsletter-recipient                                           
  store-api.customer.wishlist.add                                     POST          ANY      ANY    /store-api/customer/wishlist/add/{productId}                                      
  store-api.account.change-profile                                    POST          ANY      ANY    /store-api/account/change-profile                                                 
  store-api.account.change-email                                      POST          ANY      ANY    /store-api/account/change-email                                                   
  store-api.account.change-password                                   POST          ANY      ANY    /store-api/account/change-password                                                
  store-api.account.set.payment-method                                POST          ANY      ANY    /store-api/account/change-payment-method/{paymentMethodId}                        
  store-api.customer-group-registration.config                        GET           ANY      ANY    /store-api/customer-group-registration/config/{customerGroupId}                   
  store-api.account.customer                                          GET|POST      ANY      ANY    /store-api/account/customer                                                       
  store-api.account.address.delete                                    DELETE        ANY      ANY    /store-api/account/address/{addressId}                                            
  store-api.account.customer.delete                                   DELETE        ANY      ANY    /store-api/account/customer                                                       
  store-api.account.address.list.get                                  GET|POST      ANY      ANY    /store-api/account/list-address                                                   
  store-api.customer.wishlist.load                                    GET|POST      ANY      ANY    /store-api/customer/wishlist                                                      
  store-api.account.login                                             POST          ANY      ANY    /store-api/account/login                                                          
  store-api.account.logout                                            POST          ANY      ANY    /store-api/account/logout                                                         
